map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time,probability,path
0,2,4,111,4,1.0,1.8932312747362101,0.8616466856708146,34.7815,139.126,0.15:0.075:0.0:0.225:0.25:0.025:0.05:0.125:0.1,"['True1:4:5:8:5:2:5:4:1:4:7:4:5:2:5:6:5:8:9 ', 'True1:4:1:4:7:4:5:2:5:8:9 ', 'True1:4:5:8:9 ', 'True1:4:5:8:9 ']"
0,2,2,98,1,0.5,1.8104007229214116,0.8239488769583264,24.616,204.61599999999999,0.2:0.04:0.02:0.34:0.18:0.06:0.1:0.04:0.02,"['False1:4:1:4:7:4:1:4:5:6:5:2:3:2:5:8:5:4:1:4:5:6:5:4:1:4:1:4:1:4:7:4:1:4:7:4:1:4:7:4:5:6:5 ', 'True1:4:7:4:5:8:9 ']"
0,2,4,101,4,1.0,1.9272403651367505,0.8771248897430497,41.616499999999995,166.46599999999998,0.16666666666666666:0.047619047619047616:0.023809523809523808:0.23809523809523808:0.23809523809523808:0.047619047619047616:0.023809523809523808:0.11904761904761904:0.09523809523809523,"['True1:4:7:4:1:4:5:8:5:2:3:2:5:6:5:4:1:4:5:6:5:8:9 ', 'True1:4:5:4:1:4:5:8:9 ', 'True1:4:5:8:9 ', 'True1:4:5:8:9 ']"
0,2,3,92,3,1.0,1.7585922966937977,0.800369846047238,49.26500000000001,147.79500000000002,0.10810810810810811:0.05405405405405406:0.0:0.1891891891891892:0.35135135135135137:0.08108108108108109:0.0:0.13513513513513514:0.08108108108108109,"['True1:4:5:8:9 ', 'True1:4:5:6:5:8:5:8:5:6:5:2:5:4:5:6:5:4:1:4:5:8:9 ', 'True1:4:5:4:5:2:5:8:9 ']"
0,2,2,110,1,0.5,1.8201298064019664,0.8283767736698905,41.11,221.11,0.1702127659574468:0.06382978723404255:0.02127659574468085:0.3404255319148936:0.19148936170212766:0.02127659574468085:0.10638297872340426:0.06382978723404255:0.02127659574468085,"['False1:4:7:4:5:8:5:4:1:4:5:2:5:8:5:6:5:4:1:4:7:4:1:4:7:4:1:4:1:4:5:4:7:4:1:4 ', 'True1:4:7:4:5:2:3:2:5:8:9 ']"
0,2,3,121,2,0.6666666666666666,1.8306801358051692,0.8331784355082054,37.538,255.07600000000002,0.17543859649122806:0.05263157894736842:0.0:0.2982456140350877:0.22807017543859648:0.07017543859649122:0.08771929824561403:0.05263157894736842:0.03508771929824561,"['False1:4:7:4:1:4:5:2:5:6:5:8:5:4:1:4:1:4:5:6:5:2:5:4:1:4:1:4:7:4:1:4:7:4:5:6:5:2:5 ', 'True1:4:5:6:5:8:9 ', 'True1:4:7:4:1:4:7:4:5:8:9 ']"
0,2,4,187,3,0.75,1.9158339354345124,0.8719335998676804,54.63099999999999,343.893,0.11494252873563218:0.09195402298850575:0.034482758620689655:0.26436781609195403:0.27586206896551724:0.08045977011494253:0.05747126436781609:0.04597701149425287:0.034482758620689655,"['True1:4:1:4:7:4:1:4:7:4:5:2:5:6:5:4:1:4:5:6:5:8:9 ', 'False1:4:7:4:5:4:7:4:5:6:5:8:5:2:3:2:5:4:1:4:5:4:5:6:5:4:1:4:7:4:5:2:5:2:3:2:5:6:5:4:5:4:1:4:5:2:3:2 ', 'True1:4:5:6:5:4:5:8:9 ', 'True1:4:5:6:5:8:9 ']"
0,2,3,147,2,0.6666666666666666,1.8718866080626948,0.8519323092280605,64.142,308.284,0.18666666666666668:0.09333333333333334:0.02666666666666667:0.30666666666666664:0.2:0.04:0.08:0.04:0.02666666666666667,"['False1:4:1:4:5:6:5:2:3:2:5:4:7:4:1:4:5:2:5:6:5:4:7:4:1:4:1:4:7:4:1:4:7:4:5:2:5:4:1:4:7 ', 'True1:4:1:4:5:6:5:2:3:2:5:8:5:4:1:4:1:4:7:4:5:2:5:8:9 ', 'True1:4:1:4:1:4:5:8:9 ']"
0,2,3,73,3,1.0,1.9683414654489428,0.8958308066238907,36.35333333333333,109.06,0.0967741935483871:0.06451612903225806:0.03225806451612903:0.12903225806451613:0.2903225806451613:0.06451612903225806:0.03225806451612903:0.1935483870967742:0.0967741935483871,"['True1:4:7:4:5:8:9 ', 'True1:4:5:8:5:8:9 ', 'True1:4:5:8:5:6:5:8:5:6:5:2:3:2:5:8:9 ']"
0,2,2,125,1,0.5,1.8249890561465067,0.830588313534619,54.432,234.43200000000002,0.16666666666666666:0.07407407407407407:0.018518518518518517:0.2962962962962963:0.25925925925925924:0.07407407407407407:0.05555555555555555:0.037037037037037035:0.018518518518518517,"['False1:4:1:4:1:4:5:8:5:6:5:2:3:2:5:4:1:4:5:6:5:2:5:4:1:4:7:4:5:2:5:6:5:4:1:4:7:4:5:6:5 ', 'True1:4:7:4:5:4:1:4:1:4:5:8:9 ']"
