map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n
0,2,0.1,1,13,1,1.0,1.4941751382893085,0.6013003097789544
0,2,0.1,3,221,2,0.6666666666666666,1.7480673485460896,0.703474051508223
0,2,0.1,2,180,1,0.5,1.8200759753606217,0.732452454709275
0,2,0.1,4,415,3,0.75,1.4941751382893085,0.6013003097789544
0,2,0.1,5,298,4,0.8,1.8310204811135158,0.7368568478295671
0,2,0.1,4,225,4,1.0,1.5607104090414063,0.6280760724651601
0,2,0.1,3,154,3,1.0,2.0744897329904974,0.8348360825415645
0,2,0.1,3,149,3,1.0,1.7351264569629226,0.6982662536280607
0,2,0.1,2,176,1,0.5,1.6957425341696346,0.6824169971593528
0,2,0.1,2,163,1,0.5,1.3321790402101223,0.5361082841175451
0,2,0.1,3,155,3,1.0,1.5764921940441796,0.6344271299602655
0,2,0.1,1,9,1,1.0,1.3862943611198906,0.5578858913022596
0,2,0.1,2,177,1,0.5,1.569152946203119,0.6314735993551271
0,2,0.1,2,82,2,1.0,1.8636799873410004,0.75
0,2,0.1,4,265,3,0.75,1.6957425341696346,0.6824169971593528
0,2,0.1,3,282,2,0.6666666666666666,1.3862943611198906,0.5578858913022596
0,2,0.1,4,321,3,0.75,1.9974964654395222,0.80385171234096
0,2,0.1,1,20,1,1.0,1.4142790651247086,0.5691477646636616
0,2,0.1,4,451,2,0.5,1.989991310073152,0.8008314156360474
0,2,0.1,2,177,1,0.5,1.8462202193216333,0.7429736724633673
0,2,0.1,2,179,1,0.5,1.7351264569629226,0.6982662536280607
0,2,0.1,5,191,5,1.0,1.9085352816435601,0.7680510983406104
0,2,0.1,5,501,3,0.6,1.329661348854758,0.5350950905814502
0,2,0.1,1,21,1,1.0,1.8462202193216335,0.7429736724633674
0,2,0.1,2,180,1,0.5,1.9061547465398496,0.7670931005406071
0,2,0.1,4,229,4,1.0,1.6020559154587264,0.6447147282556492
0,2,0.1,2,70,2,1.0,1.6957425341696346,0.6824169971593528
0,2,0.1,3,146,3,1.0,1.6957425341696346,0.6824169971593528
0,2,0.1,4,246,4,1.0,1.4241299173467734,0.5731120392262111
0,2,0.1,4,317,3,0.75,1.3862943611198906,0.5578858913022596
0,2,0.1,1,13,1,1.0,1.329661348854758,0.5350950905814502
0,2,0.1,7,676,5,0.7142857142857143,1.7782333057997075,0.7156137257515961
0,2,0.1,1,9,1,1.0,1.5607104090414063,0.6280760724651601
0,2,0.1,2,181,1,0.5,2.187032906771011,0.8801267874419337
0,2,0.1,3,150,3,1.0,1.3862943611198906,0.5578858913022596
0,2,0.1,3,164,3,1.0,1.9061547465398496,0.7670931005406071
0,2,0.1,2,99,2,1.0,1.90853528164356,0.7680510983406102
0,2,0.1,2,171,1,0.5,1.7677614722893296,0.7113995499348622
0,2,0.1,2,79,2,1.0,1.7328679513998633,0.6973573641278246
0,2,0.1,2,89,2,1.0,1.7328679513998633,0.6973573641278246
0,2,0.1,4,337,3,0.75,1.7917594692280547,0.72105705434887
0,2,0.1,3,251,2,0.6666666666666666,1.8347505070928416,0.7383579207087612
0,2,0.1,3,276,2,0.6666666666666666,1.7122101157418268,0.6890440394965758
0,2,0.1,4,263,4,1.0,1.559581156259877,0.6276216277150422
0,2,0.1,2,140,2,1.0,1.818483163012365,0.7318114598661116
0,2,0.1,1,11,1,1.0,1.7917594692280547,0.72105705434887
0,2,0.1,4,519,2,0.5,1.951373840056514,0.7852906024550239
0,2,0.1,1,17,1,1.0,1.7917594692280547,0.72105705434887
0,2,0.1,5,389,4,0.8,1.808045719583997,0.7276111236364755
0,2,0.1,1,11,1,1.0,1.5607104090414063,0.6280760724651601
0,2,0.1,4,430,2,0.5,1.7481554572476758,0.7035095090581449
0,2,0.1,2,78,2,1.0,1.7328679513998633,0.6973573641278246
0,2,0.1,2,63,2,1.0,1.9298490955258456,0.7766284080291268
0,2,0.1,3,290,2,0.6666666666666666,1.5953541336364585,0.6420177328482606
0,2,0.1,5,417,4,0.8,2.1343566826304037,0.8589283154006997
0,2,0.1,1,25,1,1.0,1.7328679513998633,0.6973573641278246
0,2,0.1,2,52,2,1.0,1.3862943611198906,0.5578858913022596
0,2,0.1,1,17,1,1.0,1.2148896539491203,0.4889075628063406
0,2,0.1,3,148,3,1.0,1.3862943611198906,0.5578858913022596
0,2,0.1,6,177,6,1.0,1.3321790402101223,0.5361082841175451
0,2,0.1,4,379,2,0.5,1.6886993130287196,0.6795825964620404
0,2,0.1,6,572,5,0.8333333333333334,1.3862943611198906,0.5578858913022596
1,2,0.1,4,399,3,0.75,1.844621476365503,0.7692669055612296
1,2,0.1,4,327,3,0.75,2.0235545738035845,0.8438878030907804
1,2,0.1,3,199,3,1.0,1.4184836619456564,0.5915536337374193
1,2,0.1,2,65,2,1.0,1.8200759753606213,0.7590306365784575
1,2,0.1,3,232,2,0.6666666666666666,1.3862943611198906,0.5781296526357756
1,2,0.1,1,5,1,1.0,1.3862943611198906,0.5781296526357756
