map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n
0,2,0.1,7,677,5,0.7142857142857143,1.9795624449571372,0.6502045839535274
0,2,0.1,7,946,2,0.2857142857142857,1.8397552520382934,0.6042836896987994
0,2,0.1,7,943,2,0.2857142857142857,2.3616298494915857,0.7756979617655642
0,2,0.1,2,171,1,0.5,2.1972245773362196,0.7216976134290605
0,2,0.1,3,253,2,0.6666666666666666,2.2718685126965625,0.746215066293083
0,2,0.1,5,775,1,0.2,2.5228343933417894,0.8286470029198629
0,2,0.1,8,833,6,0.75,2.2314146937492643,0.7329276559439091
0,2,0.1,7,942,2,0.2857142857142857,2.0837660374856477,0.6844311645289788
0,2,0.1,7,1052,1,0.14285714285714285,1.9663324316666888,0.6458590704744607
0,2,0.1,4,604,2,0.5,2.5891916648294355,0.850442628619789
0,2,0.1,6,936,0,0.0,2.2018628090968573,0.7232210811832038
0,2,0.1,4,497,2,0.5,2.1873223188492537,0.7184451300956249
0,2,0.1,2,171,2,1.0,2.242973226438147,0.7367241570127354
0,2,0.1,8,1028,4,0.5,2.103492302296519,0.6909104285890664
0,2,0.1,5,597,3,0.6,2.1558850809021033,0.7081192945696244
0,2,0.1,7,1017,1,0.14285714285714285,2.475108387158112,0.8129709791230519
0,2,0.1,5,631,3,0.6,2.421019484071161,0.7952050062345761
0,2,0.1,14,1756,6,0.42857142857142855,2.0262296229952916,0.6655328263931037
0,2,0.1,3,242,2,0.6666666666666666,1.7782333057997077,0.5840762688316407
0,2,0.1,7,1001,2,0.2857142857142857,2.264095739407966,0.7436620309820972
0,2,0.1,4,413,3,0.75,2.161423635898512,0.7099384813582592
0,2,0.1,4,468,2,0.5,1.9264330279775634,0.6327537626617317
0,2,0.1,3,278,2,0.6666666666666666,2.2941223817370617,0.753524544050501
0,2,0.1,4,467,2,0.5,2.2451588719874653,0.7374420513932257
0,2,0.1,7,988,1,0.14285714285714285,2.4195006318174315,0.7947061259389638
0,2,0.1,10,1380,3,0.3,2.412376128242271,0.792366020480425
0,2,0.1,6,866,1,0.16666666666666666,2.145707857228522,0.7047764965177922
0,2,0.1,7,1010,2,0.2857142857142857,1.7395887952330098,0.5713831416311741
0,2,0.1,5,400,4,0.8,2.2873138796779617,0.7512882320513714
0,2,0.1,7,640,5,0.7142857142857143,2.0987667950729607,0.6893582944464479
0,2,0.1,7,716,4,0.5714285714285714,2.245035274126178,0.7374014545955947
0,2,0.1,11,1550,3,0.2727272727272727,2.2781179623110317,0.7482677526313523
0,2,0.1,4,624,0,0.0,2.069982233190441,0.6799037535549564
0,2,0.1,6,865,2,0.3333333333333333,1.9752733094556079,0.6487957799163542
0,2,0.1,4,491,2,0.5,2.2836867756747052,0.7500968780451356
0,2,0.1,4,439,3,0.75,2.1933950502538475,0.7204397717935639
0,2,0.1,8,957,4,0.5,2.104654107311022,0.6912920335988069
0,2,0.1,3,303,2,0.6666666666666666,2.39792227237822,0.7876185252132003
0,2,0.1,6,715,3,0.5,2.3249283510527428,0.7636430338779947
0,2,0.1,4,511,2,0.5,2.3252724279405013,0.763756048938582
0,2,0.1,6,653,3,0.5,2.345239356695102,0.7703143611740901
0,2,0.1,5,649,2,0.4,2.4546495478543378,0.8062510945689829
0,2,0.1,5,745,1,0.2,2.079373842638547,0.6829885097491425
0,2,0.1,7,863,3,0.42857142857142855,1.9677440700043098,0.6463227354224111
0,2,0.1,6,392,6,1.0,1.9513496062520657,0.6409378305358163
0,2,0.1,5,665,2,0.4,2.2704799663560844,0.7457589861133893
0,2,0.1,12,1742,2,0.16666666666666666,2.240638789904562,0.735957390933215
0,2,0.1,4,534,1,0.25,1.766340538637159,0.5801699855291461
0,2,0.1,5,780,0,0.0,2.179115786372391,0.7157496227887387
0,2,0.1,4,485,2,0.5,2.4325272442862884,0.7989848306407094
0,2,0.1,2,179,1,0.5,2.1458417525947544,0.7048204756209098
0,2,0.1,8,1028,4,0.5,2.3459244189749446,0.7705393758664946
0,2,0.1,7,994,2,0.2857142857142857,1.3666172866161495,0.44887739032005736
0,2,0.1,5,780,0,0.0,2.6383516714224493,0.866589662382422
