map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time,probability,path
0,2,3,203,0,0.0,1.7954662549186449,0.5897365815642422,0.0,540.0,0.3176470588235294:0.18235294117647058:0.0:0.0:0.18823529411764706:0.1411764705882353:0.047058823529411764:0.023529411764705882:0.07647058823529412:0.01764705882352941:0.0058823529411764705:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0,"['False1:5:1:2:1:5:1:2:1:5:1:2:1:5:1:5:1:5:1:2:1:2:6:2:1:5:1:5:1:5:1:2:1:5:1:5:1:5:1:2:1:2:1:5:1:5:1:5:1:2:6:7:6:9 ', 'False1:5:1:2:6:9:10:9:6:7:6:2:1:5:1:5:1:2:6:7:6:2:1:5:1:2:6:7:6:2:1:5:1:2:6:2:1:5:1:5:1:5:1:2:6:9:8:9:10:9:6:7:6 ', 'False1:5:1:5:1:2:6:2:1:2:6:9:8:9:6:2:1:5:1:5:1:2:1:2:6:9:8:9:10:9:6:7:6:2:1:5:1:5:1:2:1:5:1:2:6:7:11:7:6:9:8:9:6:2:1:5:1:2:1:5:1:2:6 ']"
0,2,3,248,0,0.0,2.129268572852947,0.6993768699057881,0.0,540.0,0.2469879518072289:0.18072289156626506:0.0:0.0:0.12048192771084337:0.1566265060240964:0.05421686746987952:0.030120481927710843:0.10843373493975904:0.030120481927710843:0.024096385542168676:0.006024096385542169:0.012048192771084338:0.0:0.0:0.012048192771084338:0.006024096385542169:0.006024096385542169:0.0:0.006024096385542169:0.0,"['False1:5:1:2:1:5:1:2:1:5:1:2:1:5:1:5:1:2:6:9:6:7:6:2:1:5:1:2:1:2:1:2:6:9:8:9:6:7:6:2:1:5:1:5:1:5:1:2:6:7:11:12:17 ', 'False1:2:1:5:1:2:1:5:1:2:1:5:1:5:1:2:6:9:10:9:6:2:1:2:6:9:10:9:8:13:8:9:6:2:1:2:1:2:6:7:6:9:6:2:1:2:1:5:1:5:1:2:6:9:6:2:1:5 ', 'False1:2:6:9:10:9:6:7:6:2:1:5:1:2:6:7:11:7:6:9:10:9:6:2:1:5:1:2:6:7:11:16:20:16:11:7:6:9:10:9:8:9:6:2:1:5:1:5:1:2:6:9:8:13:18 ']"
0,2,3,216,0,0.0,1.963722982912405,0.6450019742277878,0.0,540.0,0.294478527607362:0.2147239263803681:0.0:0.006134969325153374:0.12883435582822086:0.13496932515337423:0.049079754601226995:0.012269938650306749:0.07975460122699386:0.024539877300613498:0.024539877300613498:0.024539877300613498:0.0:0.0:0.0:0.0:0.006134969325153374:0.0:0.0:0.0:0.0,"['False1:2:1:5:1:2:1:5:1:2:6:7:6:9:8:9:6:2:1:2:1:5:1:2:6:9:10:9:6:7:6:2:1:2:6:7:11:12:17:12:4:12:11:7:6:9:6:2:1:5 ', 'False1:2:1:5:1:2:6:9:6:2:1:5:1:2:6:7:6:9:10:9:6:2:1:5:1:5:1:2:6:9:8:9:10:9:6:7:6:2:1:5:1:2:1:5:1:2:1:2:1:5:1:2:1:5:1:2:1 ', 'False1:2:1:5:1:2:1:5:1:2:1:5:1:2:6:9:10:9:6:7:11:12:11:7:6:2:1:2:1:2:6:2:1:5:1:2:6:2:1:2:1:5:1:5:1:2:1:5:1:2:1:5:1:2:1:5 ']"
0,2,3,249,0,0.0,2.2291490230494126,0.7321834766034061,0.0,540.0,0.2236024844720497:0.19254658385093168:0.0:0.0:0.09937888198757763:0.14906832298136646:0.043478260869565216:0.055900621118012424:0.08695652173913043:0.012422360248447204:0.024844720496894408:0.012422360248447204:0.055900621118012424:0.012422360248447204:0.0:0.006211180124223602:0.006211180124223602:0.018633540372670808:0.0:0.0:0.0,"['False1:2:1:5:1:2:6:9:6:2:1:5:1:2:6:2:1:5:1:5:1:2:6:9:8:13:14:13:18:13:8:9:6:7:6:2:1:5:1:2:6:9:6:2 ', 'False1:2:1:5:1:5:1:2:1:2:6:2:1:5:1:2:1:5:1:2:6:2:1:2:6:9:8:13:18:13:14:13:8:9:6:2:1:5:1:5:1:2:1:5:1:2:6:7:11:12:17:12:11:16:11:7:6:2 ', 'False1:5:1:2:6:9:6:7:11:7:6:2:1:5:1:2:1:5:1:2:6:7:6:9:10:9:8:13:18:13:8:9:6:2:1:2:1:2:6:7:6:9:8:13:8:9:10:9:6:2:1:2:1:5:1:2:6:9:8 ']"
0,2,3,242,0,0.0,2.22606915475857,0.7311718669490703,0.0,540.0,0.27631578947368424:0.17763157894736842:0.013157894736842105:0.02631578947368421:0.14473684210526316:0.1118421052631579:0.046052631578947366:0.013157894736842105:0.046052631578947366:0.013157894736842105:0.039473684210526314:0.039473684210526314:0.019736842105263157:0.006578947368421052:0.0:0.006578947368421052:0.013157894736842105:0.006578947368421052:0.0:0.0:0.0,"['False1:5:1:5:1:2:6:2:1:2:1:5:1:5:1:2:1:5:1:2:6:9:6:7:11:12:17:12:4:3:4:12:11:16:11:7:6:2:1:5:1:2:6:2:1:5 ', 'False1:2:1:5:1:5:1:2:6:9:6:2:1:5:1:5:1:2:6:7:11:7:6:2:1:5:1:2:1:2:1:5:1:5:1:5:1:2:1:5:1:2:1:5:1:5:1:2:6:2:1:2:1:5:1:2:1 ', 'False1:5:1:5:1:2:6:9:10:9:6:2:1:2:6:9:10:9:8:13:18:13:14:13:8:9:6:7:11:12:4:3:4:12:17:12:11:7:6:2:1:2:6:7:6:2:1:5:1 ']"
0,2,4,220,1,0.25,1.9395055035594795,0.6370475315037479,119.789,659.789,0.297029702970297:0.2376237623762376:0.0:0.0049504950495049506:0.12871287128712872:0.14356435643564355:0.04950495049504951:0.0:0.04455445544554455:0.01485148514851485:0.034653465346534656:0.019801980198019802:0.0:0.0:0.0:0.009900990099009901:0.0049504950495049506:0.0:0.0:0.0049504950495049506:0.0049504950495049506,"['False1:2:1:5:1:2:1:5:1:2:1:5:1:2:1:5:1:2:6:2:1:5:1:2:1:2:6:2:1:5:1:5:1:2:1:5:1:2:6:7:11:12:4:12:11:7:6:9 ', 'False1:5:1:2:6:7:6:2:1:5:1:2:1:2:1:5:1:5:1:2:1:5:1:2:1:2:6:7:11:7:6:9:10:9:6:2:1:2:6:2:1:5:1:5:1:5:1:2:6:2:1:5:1:2:1:2:6 ', 'False1:2:6:7:11:16:11:12:17:12:11:7:6:2:1:5:1:2:6:7:6:2:1:5:1:2:6:2:1:2:6:9:10:9:6:2:1:5:1:2:1:5:1:2:1:2:1:5:1:2:6:2:1 ', 'True1:2:1:5:1:2:6:9:6:2:1:5:1:2:6:9:10:9:6:7:6:2:1:2:6:9:6:2:1:5:1:2:6:2:1:5:1:2:6:7:11:16:20:21 ']"
0,2,2,189,0,0.0,2.2956422679259503,0.7540237639511514,0.0,360.0,0.23076923076923078:0.1346153846153846:0.0:0.0:0.14423076923076922:0.1346153846153846:0.057692307692307696:0.04807692307692308:0.08653846153846154:0.019230769230769232:0.038461538461538464:0.009615384615384616:0.028846153846153848:0.009615384615384616:0.0:0.028846153846153848:0.0:0.0:0.009615384615384616:0.019230769230769232:0.0,"['False1:2:6:7:6:2:1:5:1:2:6:9:8:13:8:9:6:2:1:5:1:5:1:5:1:5:1:2:6:7:11:16:20:16:11:12:11:7:6:9:6:2:1:5:1:2:6:7:11:16:20:19 ', 'False1:2:6:9:10:9:8:13:14:13:8:9:6:7:6:2:1:5:1:5:1:2:1:5:1:5:1:5:1:5:1:2:1:2:6:7:6:9:8:9:10:9:6:2:1:5:1:5:1:2:1:5 ']"
0,2,2,165,0,0.0,2.148537479664294,0.7057059107341932,0.0,360.0,0.24107142857142858:0.17857142857142858:0.0:0.0:0.125:0.15178571428571427:0.07142857142857142:0.026785714285714284:0.08035714285714286:0.026785714285714284:0.044642857142857144:0.017857142857142856:0.0:0.0:0.008928571428571428:0.017857142857142856:0.008928571428571428:0.0:0.0:0.0:0.0,"['False1:5:1:5:1:2:1:2:6:7:11:7:6:2:1:5:1:5:1:2:6:9:6:2:1:5:1:2:1:5:1:2:1:5:1:2:6:7:6:2:1:5:1:5:1:2:6:7:11:7:6:9:8 ', 'False1:2:6:9:10:9:6:2:1:5:1:2:6:7:6:2:1:5:1:2:6:7:11:16:15:16:11:12:17:12:11:7:6:9:10:9:8:9:6:2:1:5:1:2:6:2:1:5:1:2:1:5:1:2:6:9:10:9:8 ']"
0,2,4,288,0,0.0,2.3451044574728734,0.7702700523456981,0.0,720.0,0.22727272727272727:0.19545454545454546:0.0:0.004545454545454545:0.09545454545454546:0.1409090909090909:0.05454545454545454:0.031818181818181815:0.06363636363636363:0.01818181818181818:0.03636363636363636:0.02727272727272727:0.03636363636363636:0.00909090909090909:0.004545454545454545:0.01818181818181818:0.00909090909090909:0.013636363636363636:0.004545454545454545:0.00909090909090909:0.0,"['False1:2:6:2:1:5:1:2:6:7:11:12:17:12:11:16:20:16:11:7:6:9:8:9:6:2:1:5:1:2:6:2:1:5:1:5:1:2:6:7:11:12:11:7 ', 'False1:2:6:2:1:2:1:5:1:2:1:2:6:9:8:13:18:13:14:13:8:9:10:9:6:7:6:2:1:5:1:5:1:2:6:7:6:9:10:9:6:2:1:2:6:7:11:12:17:12:4:12:11:16:15 ', 'False1:5:1:2:6:7:6:9:8:13:14:13:18:13:8:9:10:9:6:2:1:2:1:5:1:2:6:7:6:2:1:2:6:2:1:5:1:2:1:5:1:2:1:5:1:2:1:5:1:2:6:7:6:2:1 ', 'False1:5:1:5:1:2:1:2:1:5:1:2:6:2:1:2:6:9:8:13:18:13:8:9:10:9:6:7:6:2:1:5:1:2:1:2:1:5:1:5:1:5:1:2:6:9:6:2:1:2:6:2:1:5:1:2:6:2:1:2:6:7:11:16:20:19 ']"
0,2,3,217,1,0.3333333333333333,2.5312601478209276,0.8314145156091235,26.518,386.51800000000003,0.18421052631578946:0.10526315789473684:0.017543859649122806:0.05263157894736842:0.10526315789473684:0.09649122807017543:0.05263157894736842:0.02631578947368421:0.06140350877192982:0.017543859649122806:0.09649122807017543:0.08771929824561403:0.008771929824561403:0.0:0.0:0.043859649122807015:0.017543859649122806:0.0:0.0:0.017543859649122806:0.008771929824561403,"['False1:5:1:5:1:2:6:2:1:2:6:9:8:9:6:7:6:2:1:5:1:5:1:2:1:5:1:2:1:5:1:5:1:5:1:5:1:2:6:7:11:12:4:3:4:12:17:12:11:16:11 ', 'False1:5:1:2:1:2:6:7:11:16:20:16:11:12:4:12:11:7:6:9:10:9:6:2:1:5:1:5:1:2:6:9:10:9:8:13:8:9:6:7:11:16:11:12:4:12:17:12:11 ', 'True1:2:6:7:11:12:4:3:4:12:11:16:20:21 ']"
