map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n
0,2,0.1,3,172,3,1.0,1.488036044178116,0.6772343890227733
0,2,0.1,3,226,3,1.0,1.5498260458782016,0.7053562307031518
0,2,0.1,2,85,2,1.0,1.5832584594204766,0.7205719778266463
0,2,0.1,2,100,2,1.0,1.3321790402101223,0.606300809644672
0,2,0.1,3,124,3,1.0,1.5607104090414063,0.7103099178571524
0,2,0.1,3,202,3,1.0,1.4677339293271525,0.6679944983623582
0,2,0.1,2,126,2,1.0,1.5498260458782016,0.7053562307031518
0,2,0.1,1,34,1,1.0,1.9459101490553132,0.8856218745807111
0,2,0.1,6,376,6,1.0,1.6417347121875212,0.7471856673740013
0,2,0.1,9,469,9,1.0,1.90853528164356,0.8686118393766336
0,2,0.1,2,100,2,1.0,1.5607104090414063,0.7103099178571524
0,2,0.1,3,118,3,1.0,1.4944032113796122,0.6801322116974201
0,2,0.1,3,138,3,1.0,1.5607104090414063,0.7103099178571524
0,2,0.1,2,131,2,1.0,1.4941751382893085,0.680028411160754
0,2,0.1,2,75,2,1.0,1.559581156259877,0.7097959727678895
0,2,0.1,2,162,1,0.5,1.3862943611198906,0.6309297535714573
0,2,0.1,1,7,1,1.0,1.5607104090414063,0.7103099178571524
0,2,0.1,3,125,3,1.0,1.8866967846580784,0.8586727110732549
0,2,0.1,4,121,4,1.0,1.5607104090414063,0.7103099178571524
0,2,0.1,2,89,2,1.0,1.3862943611198906,0.6309297535714573
0,2,0.1,5,278,5,1.0,1.5498260458782016,0.7053562307031518
0,2,0.1,4,382,2,0.5,1.8200759753606213,0.8283522741071693
0,2,0.1,5,361,5,1.0,1.7779755732409084,0.8091915553741061
0,2,0.1,2,106,2,1.0,1.3296613488547582,0.6051549589285762
0,2,0.1,1,30,1,1.0,1.6726254461503207,0.7612446462701183
0,2,0.1,3,212,3,1.0,1.5832584594204766,0.7205719778266463
0,2,0.1,3,96,3,1.0,1.6674619334292948,0.7588946303571861
0,2,0.1,2,87,2,1.0,1.3862943611198906,0.6309297535714573
0,2,0.1,2,54,2,1.0,1.5607104090414063,0.7103099178571524
0,2,0.1,1,16,1,1.0,1.4708084763221112,0.6693937850018178
0,2,0.1,2,62,2,1.0,1.6417347121875212,0.7471856673740013
0,2,0.1,4,422,3,0.75,1.4420930769667712,0.656324843551075
0,2,0.1,3,171,3,1.0,1.7670091910745693,0.8042005397631147
0,2,0.1,6,392,6,1.0,1.3862943611198906,0.6309297535714573
0,2,0.1,4,312,3,0.75,1.7398385585424114,0.791834651991598
0,2,0.1,4,240,4,1.0,1.4708084763221114,0.6693937850018178
