map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n,path
0,6,0.30000000000000004,7,349,7,1.0,1.5607104090414063,0.7103099178571524,True1:4:5:6:5:6:5:8:9 True1:4:7:4:7:4:7:4:1:4:1:4:5:8:5:2:5:2:3:2:3:2:3:2:5:6:5:4:5:8:5:6:5:4:1:4:1:4:7:4:7:4:5:2:5:8:9:8 True1:4:5:8:9 True1:4:5:4:1:4:5:6:5:6:5:2:3:2:3:2:5:8:9:8 True1:4:1:4:1:4:7:4:1:4:1:4:5:2:5:6:5:4:1:4:7:4:1:4:5:8:9 True1:4:7:4:5:6:5:4:5:2:5:4:1:4:1:4:5:4:1:4:1:4:5:2:3:2:5:2:5:4:7:4:1:4:5:8:9 True1:4:5:8:9:8 
0,6,0.30000000000000004,7,275,7,1.0,1.676987774322417,0.763230027380949,True1:4:1:4:1:4:1:4:5:6:5:4:1:4:5:4:7:4:7:4:5:4:5:8:9 True1:4:5:6:5:6:5:8:9:8 True1:4:1:4:1:4:1:4:1:4:7:4:1:4:5:8:9 True1:4:5:4:7:4:7:4:1:4:5:2:3:2:3:2:3:2:3:2:5:8:9:8 True1:4:7:4:1:4:7:4:5:6:5:4:5:2:3:2:3:2:5:2:5:8:9:8 True1:4:5:2:3:2:5:2:5:6:5:4:7:4:7:4:7:4:1:4:7:4:1:4:7:4:1:4:5:8:5:8:9:8 True1:4:5:8:5:2:5:8:9 
0,6,0.30000000000000004,7,250,7,1.0,1.6957425341696346,0.7717656864304008,True1:4:7:4:1:4:5:6:5:4:5:2:5:6:5:4:7:4:7:4:5:6:5:8:5:2:5:8:9 True1:4:7:4:5:4:5:2:5:6:5:8:9 True1:4:7:4:7:4:7:4:5:8:5:2:5:4:1:4:1:4:1:4:1:4:5:2:5:8:9 True1:4:5:6:5:8:5:6:5:2:5:8:9 True1:4:7:4:1:4:5:8:5:4:7:4:7:4:7:4:5:4:5:8:9 True1:4:7:4:5:2:5:4:7:4:7:4:1:4:7:4:5:8:9 True1:4:7:4:5:8:5:8:9:8 
0,6,0.30000000000000004,8,664,6,0.75,1.75330755466351,0.7979646562979523,False1:4:5:6:5:4:7:4:7:4:7:4:7:4:5:6:5:2:5:6:5:2:3:2:3:2:5:4:1:4:7:4:7:4:7:4:1:4:5:2:5:4:5:2:3:2:3:2:3:2:3:2:3:2:5:8:5:2:3:2:3:2:5:4:5:6:5:4:5:4:5:6 True1:4:7:4:1:4:5:8:9 True1:4:1:4:5:8:9 True1:4:7:4:7:4:7:4:7:4:1:4:5:2:5:4:5:4:1:4:7:4:1:4:1:4:7:4:7:4:1:4:5:8:9:8 True1:4:1:4:5:4:1:4:5:6:5:4:7:4:5:4:1:4:1:4:1:4:7:4:5:2:5:8:5:6:5:8:9 True1:4:1:4:7:4:7:4:7:4:1:4:7:4:5:2:5:4:5:4:5:2:3:2:3:2:3:2:3:2:5:4:1:4:7:4:7:4:1:4:1:4:7:4:7:4:7:4:5:2:5:6:5:8:9 False1:4:7:4:5:4:7:4:7:4:1:4:1:4:5:8:5:2:5:2:5:4:7:4:7:4:1:4:5:6:5:8:5:6:5:2:5:6:5:4:7:4:7:4:7:4:7:4:1:4:7:4:7:4:7 True1:4:5:4:5:2:5:8:5:2:3:2:3:2:3:2:3:2:5:8:9 
0,6,0.30000000000000004,9,577,9,1.0,1.6094379124341005,0.7324867603589635,True1:4:5:2:5:6:5:2:3:2:3:2:3:2:3:2:5:2:3:2:3:2:3:2:5:2:5:2:3:2:5:4:1:4:1:4:7:4:7:4:1:4:1:4:5:8:5:4:5:8:9:8 True1:4:1:4:7:4:5:4:7:4:7:4:5:8:9 True1:4:1:4:1:4:7:4:7:4:5:8:9:8 True1:4:1:4:7:4:5:4:1:4:1:4:1:4:1:4:7:4:7:4:5:4:5:8:5:6:5:6:5:4:7:4:1:4:1:4:7:4:7:4:7:4:5:4:5:6:5:8:9:8 True1:4:5:4:7:4:7:4:5:6:5:6:5:4:1:4:1:4:5:8:5:2:3:2:5:6:5:4:7:4:7:4:1:4:7:4:1:4:5:4:5:8:9 True1:4:5:4:5:8:5:4:7:4:1:4:5:4:7:4:1:4:5:4:5:8:9:8 True1:4:7:4:1:4:1:4:1:4:7:4:7:4:1:4:1:4:1:4:1:4:5:8:5:2:3:2:5:4:5:8:5:8:9 True1:4:1:4:7:4:7:4:5:8:5:2:3:2:3:2:3:2:5:6:5:2:3:2:3:2:3:2:5:6:5:2:5:6:5:6:5:8:9:8 True1:4:5:8:9 
0,6,0.30000000000000004,1,5,1,1.0,1.6094379124341005,0.7324867603589635,True1:4:5:8:9 
0,6,0.30000000000000004,2,82,2,1.0,1.6094379124341005,0.7324867603589635,True1:4:1:4:5:4:5:4:1:4:5:4:7:4:7:4:1:4:1:4:7:4:7:4:5:6:5:8:5:8:9:8 True1:4:5:8:9 
0,6,0.30000000000000004,5,187,5,1.0,1.5498260458782016,0.7053562307031518,True1:4:7:4:1:4:5:8:9 True1:4:5:2:5:4:5:4:5:6:5:2:3:2:5:2:5:6:5:2:3:2:3:2:3:2:5:8:9 True1:4:1:4:7:4:7:4:1:4:7:4:5:2:5:8:9:8 True1:4:1:4:1:4:7:4:5:2:3:2:5:4:5:6:5:4:5:6:5:8:5:6:5:4:7:4:5:4:7:4:5:8:9 True1:4:1:4:5:8:9 
0,6,0.30000000000000004,5,240,5,1.0,1.6094379124341005,0.7324867603589635,True1:4:7:4:1:4:1:4:7:4:1:4:5:8:9 True1:4:1:4:7:4:5:4:1:4:7:4:1:4:1:4:1:4:7:4:1:4:7:4:1:4:7:4:5:6:5:6:5:2:5:8:9 True1:4:7:4:7:4:1:4:1:4:7:4:5:8:5:2:3:2:3:2:5:4:5:4:7:4:5:8:5:4:5:8:9 True1:4:5:2:3:2:3:2:3:2:5:2:5:4:5:6:5:8:9:8 True1:4:5:8:9 
0,6,0.30000000000000004,4,460,3,0.75,1.9273921261392744,0.8771939591518344,True1:4:7:4:7:4:7:4:5:8:5:6:5:6:5:4:1:4:1:4:7:4:7:4:1:4:7:4:1:4:7:4:1:4:1:4:7:4:7:4:5:4:7:4:1:4:5:6:5:8:9 True1:4:5:2:3:2:5:4:1:4:5:6:5:4:1:4:1:4:1:4:7:4:5:4:1:4:5:6:5:2:5:2:3:2:3:2:3:2:3:2:3:2:5:2:3:2:5:6:5:8:9:8 False1:4:1:4:1:4:1:4:5:2:5:2:3:2:5:4:7:4:7:4:5:4:1:4:7:4:7:4:7:4:7:4:7:4:1:4:1:4:1:4:1:4:1:4:1:4:1:4:7:4:5:4:7:4:1 True1:4:7:4:1:4:1:4:5:6:5:2:5:8:9:8 
