map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n,path
0,18,0.9,5,314,5,1.0,1.5607104090414063,0.7103099178571524,True1:4:1:4:7:4:1:4:1:4:5:4:5:4:1:4:7:4:5:4:7:4:5:2:3:2:5:4:1:4:1:4:1:4:5:2:3:2:5:8:9 True1:4:1:4:7:4:5:2:3:2:3:2:3:2:5:8:5:6:5:2:3:2:5:2:3:2:5:6:5:8:9 True1:4:1:4:7:4:1:4:5:2:3:2:3:2:5:6:5:2:5:4:1:4:7:4:7:4:5:6:5:8:9 True1:4:7:4:7:4:7:4:7:4:1:4:7:4:5:8:5:6:5:4:7:4:5:8:5:4:5:6:5:4:5:2:3:2:5:4:1:4:5:8:9 True1:4:5:8:9:8 
0,18,0.9,11,548,11,1.0,1.5498260458782016,0.7053562307031518,True1:4:7:4:1:4:5:2:3:2:5:6:5:8:5:4:5:8:9 True1:4:7:4:5:6:5:4:7:4:5:2:3:2:5:6:5:4:1:4:5:4:1:4:7:4:1:4:1:4:7:4:7:4:5:8:5:8:9 True1:4:1:4:7:4:5:2:3:2:5:4:1:4:1:4:1:4:1:4:1:4:1:4:5:6:5:2:3:2:3:2:5:4:7:4:1:4:5:8:5:6:5:4:1:4:1:4:1:4:5:8:9 True1:4:5:4:1:4:5:4:7:4:1:4:7:4:5:4:7:4:7:4:7:4:5:6:5:6:5:8:5:6:5:8:5:2:3:2:5:8:9 True1:4:7:4:1:4:7:4:1:4:5:8:9 True1:4:5:8:9 True1:4:7:4:1:4:7:4:7:4:5:4:1:4:5:8:5:8:9 True1:4:5:8:5:4:7:4:1:4:7:4:1:4:7:4:1:4:7:4:7:4:5:6:5:8:9 True1:4:7:4:1:4:5:8:5:4:5:2:3:2:5:8:9 True1:4:1:4:1:4:7:4:1:4:5:8:9 True1:4:5:8:5:8:9 
0,18,0.9,10,557,9,0.9,1.5607104090414063,0.7103099178571524,True1:4:7:4:7:4:1:4:7:4:5:4:5:4:7:4:1:4:5:2:5:2:3:2:5:2:5:6:5:2:3:2:5:4:7:4:5:6:5:8:9:8 True1:4:7:4:7:4:5:8:9 True1:4:7:4:5:4:5:8:9 True1:4:5:4:5:6:5:6:5:4:5:6:5:4:7:4:5:2:5:2:5:2:3:2:5:6:5:4:5:6:5:2:3:2:3:2:5:6:5:2:5:6:5:6:5:2:3:2:3:2:5:4:1:4:5:8:5:6:5:8:9 True1:4:1:4:5:4:1:4:5:8:9 True1:4:7:4:5:6:5:8:9 False1:4:1:4:7:4:5:6:5:2:5:2:5:2:5:6:5:4:7:4:5:2:5:4:1:4:1:4:7:4:1:4:7:4:7:4:5:2:5:2:3:2:5:2:5:2:5:2:3:2:5:6:5:2:3:2:3:2:5:2:5:8:5:2:5:4:7 True1:4:1:4:1:4:5:6:5:2:5:8:5:6:5:2:3:2:5:6:5:4:7:4:1:4:1:4:7:4:5:8:9 True1:4:7:4:5:6:5:2:5:8:9 True1:4:5:8:9:8 
0,18,0.9,9,579,9,1.0,1.7478680974667573,0.7954890526419314,True1:4:7:4:1:4:5:2:3:2:3:2:3:2:5:8:5:4:1:4:5:2:3:2:5:2:5:6:5:4:7:4:5:2:3:2:3:2:3:2:3:2:3:2:5:6:5:6:5:8:9 True1:4:5:4:7:4:7:4:5:4:5:6:5:6:5:4:1:4:1:4:7:4:1:4:5:4:5:2:3:2:3:2:5:6:5:2:5:2:5:2:5:6:5:2:3:2:3:2:3:2:3:2:3:2:5:4:1:4:5:4:1:4:5:8:9 True1:4:1:4:5:2:5:8:5:6:5:4:7:4:1:4:7:4:5:2:3:2:3:2:3:2:5:4:1:4:1:4:5:4:5:6:5:8:9 True1:4:1:4:5:8:9:8 True1:4:7:4:7:4:1:4:1:4:1:4:5:4:1:4:1:4:5:6:5:6:5:8:9:8 True1:4:7:4:7:4:1:4:7:4:1:4:7:4:5:6:5:4:5:4:5:8:9 True1:4:7:4:1:4:7:4:5:6:5:8:9 True1:4:7:4:7:4:7:4:1:4:1:4:7:4:5:4:5:8:5:8:9:8 True1:4:7:4:5:8:9 
0,18,0.9,9,592,8,0.8888888888888888,1.5229550675313184,0.693126721428565,True1:4:1:4:7:4:7:4:5:6:5:4:1:4:1:4:7:4:7:4:1:4:1:4:7:4:7:4:1:4:7:4:7:4:7:4:1:4:5:4:5:2:3:2:5:4:5:6:5:4:7:4:7:4:5:8:9:8 True1:4:5:2:3:2:3:2:5:8:5:8:9 True1:4:1:4:7:4:5:2:3:2:3:2:3:2:3:2:5:6:5:6:5:8:5:6:5:6:5:8:9 True1:4:1:4:1:4:5:8:5:4:7:4:5:8:9 True1:4:1:4:1:4:7:4:7:4:1:4:1:4:7:4:1:4:5:6:5:8:9:8 True1:4:5:2:3:2:3:2:3:2:3:2:3:2:3:2:5:8:9 False1:4:7:4:5:8:5:4:7:4:5:6:5:8:5:4:1:4:7:4:1:4:7:4:5:2:3:2:5:4:5:2:3:2:3:2:3:2:5:2:3:2:5:2:5:8:5:4:5:4:5:6:5:6:5:8:5:4:5:4:7:4:1:4:1:4:1:4:1:4:7:4:1 True1:4:5:6:5:8:5:8:5:6:5:8:9 True1:4:5:8:5:4:5:8:9 
0,18,0.9,11,790,9,0.8181818181818182,1.7478680974667573,0.7954890526419314,True1:4:5:8:9 False1:4:7:4:7:4:1:4:5:8:5:8:5:4:1:4:5:6:5:4:7:4:7:4:1:4:7:4:7:4:5:2:3:2:3:2:5:6:5:8:5:2:5:2:5:2:3:2:5:2:3:2:3:2:3:2:5:4:5:2:3:2:5:2:3:2 False1:4:1:4:7:4:1:4:5:6:5:2:5:6:5:2:5:2:3:2:3:2:3:2:5:4:7:4:1:4:5:4:1:4:1:4:5:4:5:6:5:2:5:2:5:6:5:4:7:4:5:6:5:8:5:4:7:4:5:4:7:4:5:4 True1:4:5:6:5:8:9:8 True1:4:1:4:1:4:1:4:1:4:7:4:7:4:7:4:5:2:5:4:1:4:1:4:7:4:1:4:1:4:7:4:7:4:5:6:5:4:1:4:7:4:7:4:1:4:5:2:3:2:5:2:5:8:5:4:1:4:7:4:5:4:5:8:5:4:1:4:7:4:5:8:9 True1:4:7:4:5:6:5:8:5:2:5:2:5:4:5:8:5:6:5:2:5:2:5:4:7:4:5:8:9:8 True1:4:5:8:5:6:5:6:5:2:5:4:1:4:1:4:1:4:5:8:5:8:5:6:5:8:9:8 True1:4:5:8:5:2:3:2:5:8:5:2:5:2:5:4:1:4:7:4:7:4:7:4:7:4:7:4:7:4:5:6:5:4:7:4:1:4:5:6:5:4:1:4:7:4:5:8:9 True1:4:5:4:5:8:9:8 True1:4:1:4:7:4:7:4:7:4:1:4:7:4:5:8:9 True1:4:5:2:5:8:9 
0,18,0.9,13,1134,13,1.0,1.933809998920632,0.8801148589303807,True1:4:7:4:7:4:1:4:1:4:5:2:3:2:3:2:5:2:5:6:5:2:5:2:5:8:9 True1:4:7:4:1:4:1:4:5:8:5:4:5:4:7:4:1:4:7:4:1:4:7:4:7:4:7:4:5:8:5:8:5:4:7:4:7:4:1:4:5:8:5:2:3:2:5:6:5:2:5:8:9:8 True1:4:5:4:1:4:1:4:7:4:7:4:7:4:5:6:5:4:7:4:5:2:3:2:5:8:5:2:5:8:9 True1:4:7:4:5:6:5:6:5:6:5:4:1:4:1:4:1:4:5:2:5:8:9 True1:4:1:4:7:4:5:4:1:4:5:6:5:2:5:2:5:2:5:6:5:8:9:8 True1:4:7:4:5:2:5:2:5:8:5:2:5:6:5:4:1:4:7:4:5:6:5:4:1:4:1:4:5:6:5:6:5:4:1:4:5:4:5:4:7:4:7:4:1:4:1:4:5:2:5:8:9 True1:4:7:4:7:4:7:4:7:4:1:4:7:4:1:4:7:4:1:4:7:4:5:8:5:8:9 True1:4:7:4:1:4:7:4:5:2:3:2:3:2:5:6:5:6:5:2:3:2:5:2:3:2:3:2:5:4:5:6:5:4:5:2:5:2:5:2:5:6:5:4:5:2:3:2:5:8:5:6:5:6:5:2:3:2:5:6:5:6:5:8:9 True1:4:7:4:5:4:7:4:5:4:1:4:5:2:5:6:5:8:5:4:7:4:1:4:5:4:1:4:5:8:5:6:5:2:3:2:5:6:5:8:5:4:1:4:1:4:5:4:7:4:5:6:5:8:5:2:5:8:5:8:9 True1:4:5:6:5:8:5:4:1:4:1:4:5:2:5:4:1:4:7:4:5:6:5:4:5:4:5:8:5:4:1:4:7:4:7:4:5:4:7:4:7:4:5:4:1:4:7:4:7:4:5:8:9 True1:4:7:4:1:4:7:4:1:4:7:4:7:4:7:4:5:8:5:2:3:2:5:2:5:6:5:2:5:2:3:2:3:2:3:2:5:2:3:2:5:4:1:4:1:4:1:4:5:8:9:8 True1:4:5:8:5:6:5:2:3:2:3:2:5:2:5:8:5:8:5:2:3:2:3:2:3:2:3:2:5:2:3:2:3:2:3:2:3:2:5:8:9 True1:4:7:4:7:4:1:4:5:6:5:2:5:8:9 
0,18,0.9,34,1563,32,0.9411764705882353,1.6094379124341005,0.7324867603589635,True1:4:1:4:5:8:9 False1:4:1:4:1:4:1:4:5:6:5:4:5:6:5:2:3:2:5:2:3:2:5:8:5:8:5:2:5:4:1:4:7:4:7:4:1:4:5:2:3:2:3:2:5:8:5:6:5:4:7:4:1:4:7:4:1:4:1:4:7:4:5:6:5:2:5:4:5:4:5:2:3:2:3 True1:4:7:4:1:4:1:4:7:4:1:4:1:4:1:4:5:6:5:8:5:2:5:2:5:4:1:4:5:4:5:6:5:6:5:8:9 True1:4:5:8:9 True1:4:5:4:5:8:9 False1:4:7:4:5:6:5:8:5:6:5:4:7:4:7:4:1:4:1:4:5:2:3:2:5:2:5:4:5:6:5:2:5:4:1:4:7:4:5:8:5:4:5:2:5:8:5:4:5:2:3:2:5:6:5:4:5:8:5:6:5:2:5:6:5:4:5:2:3:2:3:2:3:2:5:4:1:4:1 True1:4:5:4:1:4:5:4:1:4:7:4:7:4:7:4:5:8:5:2:5:8:5:6:5:2:3:2:3:2:3:2:3:2:3:2:3:2:3:2:5:8:9 True1:4:7:4:7:4:1:4:5:6:5:8:9 True1:4:1:4:5:6:5:6:5:2:5:6:5:6:5:2:3:2:3:2:3:2:3:2:5:2:3:2:5:8:5:6:5:6:5:8:5:2:3:2:3:2:5:8:5:8:9 True1:4:1:4:7:4:5:6:5:8:9:8 True1:4:1:4:5:2:5:4:1:4:5:4:1:4:1:4:1:4:5:2:5:2:3:2:3:2:3:2:3:2:3:2:3:2:5:4:1:4:7:4:5:2:3:2:3:2:3:2:5:4:7:4:7:4:5:8:9 True1:4:1:4:5:8:9:8 True1:4:5:4:1:4:5:8:5:6:5:2:5:2:3:2:5:8:5:8:5:8:5:4:7:4:7:4:1:4:5:6:5:4:5:6:5:8:9:8 True1:4:7:4:5:8:9:8 True1:4:1:4:7:4:7:4:7:4:7:4:1:4:7:4:5:8:5:8:9 True1:4:7:4:1:4:1:4:5:4:7:4:1:4:5:8:5:6:5:8:9 True1:4:7:4:7:4:7:4:1:4:5:2:5:8:5:2:3:2:5:8:5:6:5:8:5:4:5:8:5:4:5:4:7:4:1:4:7:4:7:4:1:4:5:8:9 True1:4:7:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9:8 True1:4:5:8:9 True1:4:1:4:5:2:5:8:5:6:5:6:5:8:9 True1:4:1:4:7:4:5:6:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:1:4:5:6:5:4:5:4:5:6:5:6:5:6:5:8:9 True1:4:7:4:5:6:5:8:9:8 True1:4:5:2:5:8:9 True1:4:1:4:5:6:5:8:5:8:9 True1:4:5:2:5:4:1:4:5:8:9 True1:4:1:4:7:4:5:4:5:8:9 True1:4:5:6:5:8:5:8:9 True1:4:1:4:5:6:5:6:5:6:5:8:9 True1:4:5:8:9 
0,18,0.9,18,947,18,1.0,1.8310204811135162,0.8333333333333333,True1:4:1:4:5:2:3:2:5:4:1:4:5:2:3:2:5:2:5:6:5:2:3:2:5:2:5:2:5:2:3:2:3:2:5:2:5:4:5:8:9:8 True1:4:5:6:5:6:5:6:5:4:5:2:3:2:3:2:3:2:3:2:3:2:3:2:5:8:9 True1:4:1:4:5:8:5:2:5:8:9 True1:4:1:4:1:4:7:4:5:6:5:2:5:6:5:8:9:8 True1:4:7:4:1:4:5:8:5:2:3:2:5:8:9 True1:4:1:4:7:4:1:4:5:8:9 True1:4:5:2:5:4:5:2:5:2:5:6:5:4:1:4:7:4:1:4:1:4:7:4:1:4:7:4:1:4:1:4:7:4:7:4:5:6:5:8:9 True1:4:5:2:3:2:5:8:5:8:9 True1:4:5:4:5:2:3:2:3:2:5:6:5:2:5:2:5:6:5:4:1:4:7:4:1:4:1:4:1:4:5:4:1:4:7:4:7:4:7:4:5:4:7:4:5:4:5:4:5:4:5:8:9 True1:4:1:4:5:4:1:4:5:8:9 True1:4:7:4:7:4:7:4:5:2:5:2:3:2:5:8:9 True1:4:7:4:1:4:5:4:7:4:7:4:1:4:1:4:5:4:1:4:1:4:5:4:7:4:5:6:5:6:5:8:9:8 True1:4:7:4:5:6:5:8:9 True1:4:7:4:5:2:3:2:3:2:3:2:3:2:3:2:3:2:5:6:5:8:5:4:7:4:1:4:5:6:5:8:5:4:1:4:1:4:7:4:7:4:7:4:5:8:9 True1:4:5:2:3:2:3:2:3:2:5:4:7:4:5:6:5:8:9 True1:4:5:2:3:2:5:2:3:2:3:2:3:2:3:2:5:2:3:2:3:2:5:6:5:6:5:8:9 True1:4:7:4:7:4:7:4:5:4:7:4:7:4:7:4:7:4:5:8:5:8:9 True1:4:5:6:5:2:5:8:9 
0,18,0.9,16,865,15,0.9375,1.6094379124341005,0.7324867603589635,True1:4:5:2:5:6:5:8:9 True1:4:5:4:7:4:1:4:5:4:5:8:5:6:5:6:5:8:9:8 True1:4:5:2:3:2:5:6:5:4:1:4:5:2:3:2:5:8:9 True1:4:5:8:5:8:5:2:5:4:5:2:5:8:9 True1:4:5:8:9 True1:4:1:4:5:4:5:4:5:6:5:4:5:2:5:4:1:4:1:4:1:4:5:2:3:2:3:2:3:2:5:4:5:2:5:4:1:4:5:8:9 True1:4:1:4:7:4:1:4:5:6:5:6:5:2:5:4:1:4:1:4:7:4:7:4:7:4:5:2:3:2:5:6:5:8:9 False1:4:5:8:5:4:7:4:7:4:5:4:1:4:7:4:7:4:7:4:1:4:5:6:5:4:7:4:5:4:7:4:5:2:3:2:5:6:5:6:5:6:5:2:3:2:3:2:3:2:5:4:7:4:1:4:5:4 True1:4:5:6:5:2:3:2:5:4:5:2:5:8:5:8:9 True1:4:7:4:7:4:1:4:5:6:5:2:5:6:5:6:5:6:5:6:5:4:5:4:1:4:5:6:5:6:5:8:5:4:7:4:7:4:5:2:5:6:5:6:5:4:7:4:5:6:5:6:5:6:5:4:5:6:5:8:9 True1:4:7:4:7:4:5:2:3:2:5:2:3:2:5:6:5:6:5:8:9 True1:4:1:4:5:2:5:2:5:8:9 True1:4:1:4:1:4:1:4:5:2:3:2:3:2:5:4:7:4:5:8:5:6:5:4:5:4:7:4:5:8:5:2:3:2:5:6:5:8:5:8:5:2:5:4:7:4:1:4:7:4:5:4:1:4:5:6:5:2:3:2:5:8:9:8 True1:4:1:4:7:4:7:4:7:4:7:4:5:4:5:6:5:2:5:6:5:2:3:2:5:4:5:4:7:4:1:4:5:4:1:4:5:6:5:6:5:8:5:8:5:8:9 True1:4:7:4:7:4:7:4:7:4:1:4:5:8:9 True1:4:5:8:9 
