map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time,probability,path,time
0,12,7,57,7,1.0,1.6760194402752293,0.7627893195638348,13.821571428571428,96.75099999999999,0.1951219512195122:0.0:0.0:0.24390243902439024:0.1951219512195122:0.0:0.024390243902439025:0.17073170731707318:0.17073170731707318,True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:4:7:4:1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 ,0.15:2.04:4.908:6.994:9.826 27.87:28.714:30.883:31.712:33.525 33.975:34.924:36.905:37.696:38.692 39.092:39.423:40.289:43.311:44.677 48.136:48.906:49.8:54.224:56.999:64.147:65.124:66.228:67.059:69.101:70.91 71.26:78.884:80.184:80.985:82.617 83.017:84.965:87.505:90.143:91.486 
0,12,16,226,16,1.0,1.996718525865724,0.9087457633877477,35.760125,572.162,0.12941176470588237:0.07647058823529412:0.029411764705882353:0.2:0.2529411764705882:0.047058823529411764:0.041176470588235294:0.12941176470588237:0.09411764705882353,True1:4:1:4:5:6:5:4:7:4:1:4:7:4:5:2:5:8:9 True1:4:7:4:5:6:5:8:5:4:1:4:7:4:1:4:5:6:5:2:3:2:5:4:5:6:5:2:3:2:5:8:9 True1:4:5:8:5:6:5:8:9 True1:4:7:4:1:4:5:8:5:8:9 True1:4:5:8:5:2:3:2:5:4:5:2:3:2:5:6:5:4:1:4:7:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:2:3:2:5:6:5:2:5:8:9 True1:4:5:8:9 True1:4:5:8:5:8:5:6:5:2:5:8:9 True1:4:5:8:9 True1:4:7:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 ,0.15:2.212:9.821:12.253:14.753:17.306:24.915:30.096:31.272:35.819:40.443:43.744:46.278:52.584:53.302:55.664:63.792:64.56:67.227 84.546:88.277:90.393:98.826:99.849:101.839:108.697:109.798:120.112:130.028:134.247:144.082:146.402:151.228:159.918:162.297:162.979:165.9:174.726:175.725:177.772:188.66:197.381:198.376:199.586:202.682:210.958:211.807:213.741:221.304:224.31:225.161:227.391 233.904:234.97:235.35:236.306:239.297:241.86:250.125:252.375:253.612 266.647:268.804:271.204:278.158:286.024:289.702:292.259:293.104:296.523:297.935:302.142 304.017:308.352:309.454:310.236:313.261:315.466:317.599:325.617:346.332:347.679:348.603:352.153:354.942:359.502:367.126:368.185:377.041:378.282:380.9:386.138:386.875:397.652:400.639:401.513:402.952 405.503:406.053:406.576:409.819:411.164 414.535:414.967:415.546:417.515:419.004 419.304:419.981:420.903:424.353:426.413:434.443:444.296:446.438:458.244:459.626:466.095:467.138:468.354 470.119:471.127:471.92:474.022:474.759 475.059:477.949:478.935:479.466:482.425:493.337:495.849:497.809:506.292:507.554:512.151:515.528:516.224 530.148:531.868:532.925:534.527:536.274 536.574:537.476:540.148:548.671:550.002:550.631:553.392 555.291:557.68:558.674:560.795:561.476 561.876:563.801:564.851:566.568:568.149 568.399:569.023:569.941:570.763:571.757 572.007:572.351:573.776:574.352:575.372 
0,12,7,123,7,1.0,1.950730472212201,0.8878156981919195,37.523714285714284,262.666,0.1506849315068493:0.0410958904109589:0.0136986301369863:0.2465753424657534:0.2191780821917808:0.0410958904109589:0.0684931506849315:0.1232876712328767:0.0958904109589041,True1:4:7:4:5:6:5:8:9 True1:4:5:8:5:2:5:6:5:4:7:4:5:8:9 True1:4:1:4:7:4:5:8:5:4:5:6:5:2:3:2:5:8:9 True1:4:7:4:5:8:9 True1:4:1:4:1:4:7:4:1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 ,0.2:3.92:6.27:13.986:14.919:17.694:24.383:25.691:28.019 40.841:41.813:45.109:46.349:49.843:52.321:57.589:58.249:67.326:68.481:70.867:80.318:84.797:89.756:91.069 108.053:110.104:116.919:120.333:122.368:126.721:127.406:128.825:135.868:138.16:147.465:148.236:152.959:153.988:156.085:171.594:174.856:186.418:187.76 190.421:191.044:196.938:208.469:209.573:210.741:212.844 213.244:213.988:216.819:217.668:220.665:230.246:232.17:239.985:240.621:241.899:245.336:246.662:247.115 248.538:250.594:251.978:252.801:253.874 260.2:261.343:262.675:263.341:263.936 
0,12,4,159,3,0.75,1.849793799029916,0.841877438524055,91.17533333333334,453.526,0.15384615384615385:0.0673076923076923:0.019230769230769232:0.2980769230769231:0.2403846153846154:0.019230769230769232:0.07692307692307693:0.09615384615384616:0.028846153846153848,False1:4:7:4:5:8:5:4:1:4:5:2:5:4:1:4:5:6:5:8:5:2:3:2:5:4:1:4:5:8:5:4:7:4:1:4:1:4:7 True1:4:5:2:5:8:5:4:1:4:7:4:5:8:5:4:1:4:1:4:5:4:7:4:1:4:7:4:1:4:5:6:5:2:3:2:5:8:9 True1:4:1:4:5:2:5:4:7:4:1:4:7:4:5:8:5:8:9 True1:4:5:8:5:8:9 ,0.15:3.651:6.166:14.486:15.771:17.924:25.556:32.346:37.444:39.567:42.03:44.265:52.817:62.478:66.743:69.353:71.85:74.416:80.211:81.198:88.32:89.472:91.409:97.406:107.043:118.078:122.057:125.677:127.923:130.259:139.46:146.83:147.716:153.617:160.351:163.704:170.029:172.585:174.925 180.31:183.25:185.802:188.413:198.331:199.241:206.254:210.239:215.264:218.627:221.238:226.859:227.669:229.651:236.797:245.004:250.704:253.02:261.991:265.816:268.393:274.262:275.616:282.714:287.013:289.412:291.665:296.14:297.992:301.677:303.909:306.072:315.185:316.223:318.775:325.37:341.167:341.865:344.169 352.91:356.158:363.246:365.3:367.637:369.594:374.544:377.714:378.953:391.803:396.468:399.118:401.649:411.402:412.545:413.357:416.754:424.059:425.135 438.281:440.261:442.79:443.448:446.726:447.826:452.244 
0,12,5,109,5,1.0,1.9644067080822252,0.894040021372668,40.6988,203.494,0.15254237288135594:0.05084745762711865:0.01694915254237288:0.2542372881355932:0.22033898305084745:0.05084745762711865:0.06779661016949153:0.1016949152542373:0.0847457627118644,True1:4:7:4:5:6:5:4:1:4:5:8:9 True1:4:7:4:1:4:7:4:1:4:5:6:5:2:5:8:9 True1:4:5:4:5:8:9 True1:4:5:8:5:6:5:2:3:2:5:8:9 True1:4:7:4:1:4:5:8:9 ,0.15:4.921:6.987:17.34:18.215:20.685:26.761:32.686:39.319:41.143:43.513:45.592:47.662 57.714:58.349:61.764:70.488:71.313:78.343:80.859:88.284:89.421:90.458:91.25:94.331:101.324:102.241:111.281:112.338:114.859 120.403:125.057:126.283:129.414:130.501:133.8:135.297 137.507:140.88:141.589:144.617:162.571:163.732:168.544:169.241:171.223:176.575:181.393:183.485:184.68 186.316:186.709:189.593:197.293:199.513:200.557:202.534:203.484:204.294 
0,12,8,143,8,1.0,1.7708587905430666,0.8059525679846288,44.34637500000001,354.7710000000001,0.16666666666666666:0.020833333333333332:0.0:0.3020833333333333:0.25:0.03125:0.041666666666666664:0.10416666666666667:0.08333333333333333,True1:4:1:4:5:4:1:4:5:8:5:2:5:4:1:4:7:4:5:8:9 True1:4:7:4:5:8:5:2:5:4:1:4:5:8:9 True1:4:5:6:5:4:5:4:5:4:1:4:7:4:5:8:9 True1:4:7:4:5:8:9 True1:4:5:4:1:4:5:4:1:4:5:8:9 True1:4:5:6:5:8:9 True1:4:1:4:5:8:9 True1:4:5:4:5:6:5:8:9 ,0.25:2.409:16.504:19.009:21.628:27.83:35.561:37.885:40.627:43.075:50.202:51.13:56.303:63.741:69.741:72.203:74.642:80.604:81.604:83.921:86.775 94.58:96.845:99.512:106.608:107.927:110.716:116.476:117.454:127.651:131.704:134.984:138.314:139.485:142.82:143.958 147.314:147.938:148.713:151.62:160.594:161.147:162.302:165.57:167.044:170.119:172.894:185.254:186.216:197.085:200.863:201.517:203.803 212.692:214.726:216.91:221.287:222.502:223.746:225.759 226.259:228.568:231.09:243.739:252.847:254.95:257.382:266.867:272.723:277.051:278.095:278.739:280.482 280.832:283.236:285.227:287.547:294.994:296.249:297.434 307.909:310.353:318.714:321.936:323.057:323.962:324.311 327.471:328.472:330.618:333.742:342.618:343.664:347.628:348.68:349.467 
0,12,10,147,9,0.9,1.821014070654759,0.8287792196746884,18.88633333333333,349.977,0.18446601941747573:0.019417475728155338:0.0:0.2912621359223301:0.20388349514563106:0.02912621359223301:0.06796116504854369:0.11650485436893204:0.08737864077669903,False1:4:1:4:7:4:5:6:5:2:5:8:5:4:1:4:5:8:5:2:5:4:1:4:1:4:7:4:1:4:7:4:5:6:5:8:5:4:1:4 True1:4:5:6:5:8:9 True1:4:1:4:7:4:7:4:1:4:5:8:9 True1:4:5:8:9 True1:4:7:4:1:4:7:4:5:8:9 True1:4:5:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 ,0.15:5.296:12.165:14.578:16.662:22.156:23.35:26.178:35.037:35.913:43.122:44.471:51.881:58.603:65.4:67.939:70.322:72.478:86.288:87.501:94.406:100.969:108.7:110.532:115.054:123.499:126.116:132.585:136.065:139.961:142.409:146.264:147.093:149.18:158.339:158.94:162.748:167.207:174.109:178.949 180.36:182.312:184.775:187.251:192.791:193.59:196.122 205.623:206.264:209.636:218.761:219.621:227.446:229.876:244.254:245.59:253.194:255.614:256.651:257.576 259.573:260.549:261.592:261.934:264.063 264.413:268.0:270.541:278.845:284.864:288.105:290.409:297.313:298.289:299.071:300.072 306.602:308.938:309.734:312.928:314.139:315.878:316.237 316.587:318.757:319.515:321.366:321.659 322.059:331.066:332.197:333.213:333.898 337.248:338.095:341.158:342.508:344.76 345.11:346.168:349.192:350.003:350.579 
0,12,6,188,6,1.0,1.8810933493319304,0.8561224777543918,72.43750000000001,434.62500000000006,0.12264150943396226:0.0660377358490566:0.018867924528301886:0.2641509433962264:0.29245283018867924:0.05660377358490566:0.03773584905660377:0.08490566037735849:0.05660377358490566,True1:4:5:8:9 True1:4:7:4:5:4:1:4:5:4:7:4:1:4:7:4:5:6:5:8:9 True1:4:5:6:5:4:1:4:7:4:5:2:5:4:1:4:5:6:5:8:5:4:5:2:5:4:5:6:5:8:9 True1:4:5:4:5:2:3:2:5:8:9 True1:4:5:8:5:6:5:2:3:2:5:4:1:4:5:4:5:8:5:2:5:6:5:4:1:4:5:8:9 True1:4:5:4:1:4:5:8:9 ,0.15:9.642:12.289:14.767:17.539 29.311:32.855:35.527:42.16:43.32:48.694:55.18:58.443:60.858:69.277:70.405:77.403:82.9:88.077:90.397:99.853:100.72:102.85:110.748:111.838:114.052 126.87:131.448:133.9:135.72:141.71:147.803:152.838:157.346:159.383:170.309:171.424:173.665:183.944:195.11:199.976:203.382:204.382:207.834:218.023:218.737:223.831:224.978:225.952:230.486:237.218:239.477:240.415:243.472:253.633:254.764:256.062 258.577:261.741:263.025:265.999:273.565:274.603:276.796:286.096:293.325:294.087:295.329 298.34:301.405:303.847:306.488:313.509:314.274:325.318:325.97:328.113:332.551:337.672:342.041:345.657:347.895:349.138:352.574:353.855:357.029:364.729:366.022:374.285:375.165:383.336:384.712:386.957:393.162:397.633:399.98:402.644 411.364:413.572:415.965:422.989:429.749:432.1:432.829:433.501:433.892 
0,12,6,129,6,1.0,1.9345232120643232,0.8804394562205474,53.86333333333334,323.18,0.14772727272727273:0.09090909090909091:0.03409090909090909:0.2840909090909091:0.20454545454545456:0.011363636363636364:0.07954545454545454:0.07954545454545454:0.06818181818181818,True1:4:7:4:1:4:5:2:3:2:5:4:7:4:1:4:5:2:5:4:1:4:5:8:9 True1:4:5:8:9 True1:4:7:4:1:4:5:2:3:2:5:4:7:4:1:4:7:4:1:4:5:8:9 True1:4:5:2:3:2:5:4:5:8:9 True1:4:5:6:5:8:9 True1:4:7:4:5:2:5:4:1:4:7:4:5:8:5:8:9 ,0.35:2.511:4.99:13.995:17.574:22.397:24.825:27.154:30.009:37.238:42.23:52.803:54.17:66.337:74.867:76.67:79.133:81.572:87.861:95.485:99.193:101.336:103.878:106.512:108.881 122.454:124.824:127.599:128.59:134.295 136.053:138.041:140.751:145.39:151.078:156.003:158.378:160.563:163.273:177.778:183.12:189.209:190.4:195.436:202.663:205.128:207.263:211.965:216.177:218.713:219.538:220.088:221.135 223.099:224.054:224.83:228.248:230.656:235.15:244.569:245.859:246.703:247.144:250.279 254.962:258.3:259.569:262.404:268.98:271.104:272.417 274.25:277.464:279.589:286.431:287.7:290.198:294.873:298.871:301.957:306.553:308.549:314.935:316.065:316.897:319.826:321.228:322.039 
0,12,5,96,5,1.0,1.9686641140059473,0.8959776503103907,40.6476,203.238,0.1568627450980392:0.0392156862745098:0.0196078431372549:0.2549019607843137:0.19607843137254902:0.0392156862745098:0.0784313725490196:0.11764705882352941:0.09803921568627451,True1:4:5:8:9 True1:4:5:6:5:8:9 True1:4:5:8:5:2:3:2:5:6:5:4:7:4:1:4:1:4:7:4:5:8:9 True1:4:7:4:1:4:5:8:9 True1:4:7:4:5:8:9 ,0.2:3.676:6.365:8.675:11.186 21.367:22.331:25.745:28.428:36.296:37.315:39.765 52.605:54.542:56.798:59.173:66.755:67.645:70.105:76.294:81.918:83.237:88.23:93.45:94.091:99.673:103.397:106.843:120.21:122.492:124.98:136.005:137.328:138.39:141.269 143.81:148.687:150.78:155.077:161.89:165.29:167.967:170.325:173.056 179.607:184.43:187.08:199.554:200.608:201.736:203.938 
