map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time,probability,path,time
0,6,3,64,3,1.0,1.772411230734135,0.80665911396408,50.51266666666667,151.538,0.21621621621621623:0.05405405405405406:0.0:0.32432432432432434:0.13513513513513514:0.0:0.10810810810810811:0.08108108108108109:0.08108108108108109,True1:4:5:2:5:8:9 True1:4:7:4:1:4:1:4:1:4:7:4:5:8:9 True1:4:7:4:1:4:7:4:1:4:5:2:5:8:9 ,0.15:2.507:4.643:7.094:14.726:15.662:17.601 31.575:33.969:36.793:43.484:47.977:51.782:57.761:60.377:66.135:69.328:72.122:82.089:83.335:84.518:86.401 86.751:89.183:91.667:101.635:113.343:118.172:120.38:124.773:130.04:132.099:134.769:137.541:142.695:144.018:144.935 
0,6,6,129,6,1.0,1.8709429550397056,0.8515028342291356,38.77766666666667,232.666,0.16666666666666666:0.030303030303030304:0.015151515151515152:0.24242424242424243:0.24242424242424243:0.030303030303030304:0.030303030303030304:0.15151515151515152:0.09090909090909091,True1:4:5:8:5:4:1:4:7:4:1:4:5:8:9 True1:4:1:4:7:4:5:8:5:2:3:2:5:6:5:4:1:4:5:8:9 True1:4:5:6:5:8:9 True1:4:5:8:5:8:9 True1:4:5:4:1:4:5:8:9 True1:4:5:8:5:8:9 ,0.15:2.416:4.647:7.315:12.717:19.254:25.576:27.685:30.05:36.575:45.498:48.057:50.373:52.373:54.681 67.373:70.836:76.73:79.281:81.78:91.142:92.071:94.684:103.807:104.506:106.928:118.501:121.671:122.635:130.787:135.274:140.305:142.379:145.115:147.232:148.498 153.532:154.72:157.716:159.733:168.785:169.623:171.927 179.828:180.993:182.415:182.689:187.908:189.059:190.963 191.313:192.281:192.864:195.624:198.358:204.299:210.09:210.777:212.083 218.647:224.174:225.397:226.486:229.854:230.62:231.569 
0,6,5,76,5,1.0,1.6995825451909705,0.7735133507615504,26.479599999999998,132.398,0.20512820512820512:0.0:0.0:0.3076923076923077:0.15384615384615385:0.0:0.07692307692307693:0.1282051282051282:0.1282051282051282,True1:4:5:8:9 True1:4:7:4:1:4:5:8:9 True1:4:7:4:1:4:5:4:7:4:1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 ,0.2:2.324:4.58:6.561:9.256 29.501:31.601:33.776:40.107:44.719:47.087:49.669:51.039:57.168 61.033:63.436:65.771:72.178:80.675:84.281:85.509:88.282:90.47:94.294:95.61:101.199:113.171:114.164:116.349 123.721:124.566:125.269:125.733:128.883 131.342:131.744:132.219:132.699:133.348 
0,6,5,226,5,1.0,1.859569256128951,0.8463264407789297,109.6394,548.197,0.176:0.064:0.024:0.32:0.208:0.024:0.072:0.072:0.04,True1:4:1:4:7:4:1:4:5:8:5:4:7:4:1:4:7:4:5:4:1:4:5:6:5:2:5:8:9 True1:4:7:4:1:4:5:6:5:4:1:4:1:4:7:4:5:8:5:4:1:4:1:4:1:4:1:4:1:4:5:2:3:2:5:8:9 True1:4:7:4:5:4:1:4:1:4:5:2:5:8:9 True1:4:5:8:5:2:3:2:5:4:1:4:7:4:7:4:1:4:5:6:5:2:3:2:5:8:5:4:5:8:9 True1:4:7:4:5:4:1:4:5:4:5:8:9 ,0.2:3.899:12.104:14.778:17.189:27.878:40.338:46.57:49.207:51.753:61.902:68.404:69.196:74.295:80.826:84.417:86.621:92.981:93.617:100.696:108.386:110.447:112.695:115.063:122.52:123.731:129.243:130.285:132.456 144.839:146.009:148.716:154.731:155.962:163.65:164.28:166.516:174.022:178.171:187.56:189.692:197.204:202.063:204.439:210.842:211.933:214.405:224.642:230.085:234.902:239.597:245.352:247.793:251.395:255.856:261.817:263.899:267.371:270.658:272.963:275.094:277.782:283.551:289.951:291.285:293.656 303.314:306.274:308.697:314.378:314.953:324.735:329.905:331.723:340.582:349.277:350.065:352.983:358.444:359.064:361.034 370.875:371.599:375.897:378.251:391.166:392.185:394.105:404.619:416.606:423.139:423.782:428.186:429.406:435.65:437.711:451.053:451.817:457.072:457.942:460.547:465.976:466.846:469.459:483.528:488.465:489.26:496.007:498.232:499.959:502.528:505.042 514.236:516.363:518.378:526.667:527.778:534.78:539.421:541.311:542.069:545.121:546.035:547.757:549.147 
0,6,3,107,3,1.0,1.913454212090122,0.8708505410993884,62.338666666666676,187.01600000000002,0.14893617021276595:0.0851063829787234:0.02127659574468085:0.2765957446808511:0.23404255319148937:0.02127659574468085:0.06382978723404255:0.0851063829787234:0.06382978723404255,True1:4:1:4:5:2:3:2:5:6:5:8:5:4:1:4:5:2:5:4:7:4:1:4:7:4:5:2:5:4:1:4:5:8:9 True1:4:7:4:5:8:9 True1:4:5:8:9 ,0.15:1.923:7.158:9.182:11.213:13.703:16.288:24.434:32.355:33.151:41.956:43.196:50.353:57.507:62.755:67.283:69.468:71.806:76.515:83.364:84.697:91.474:93.667:95.374:97.504:103.917:105.191:107.452:119.416:122.505:128.816:132.048:134.379:136.429:138.916 149.961:152.053:154.267:166.003:166.925:168.003:172.333 176.029:180.733:183.167:184.228:184.714 
0,6,2,89,2,1.0,1.918220954372681,0.8730199790037915,94.4295,188.859,0.175:0.075:0.025:0.3:0.2:0.05:0.075:0.05:0.05,True1:4:5:4:7:4:1:4:5:2:3:2:5:4:1:4:1:4:1:4:1:4:7:4:5:6:5:2:5:8:9 True1:4:7:4:5:6:5:8:9 ,0.35:6.355:8.808:16.774:17.916:23.638:27.38:33.241:35.961:38.533:41.339:49.959:57.319:61.25:66.072:67.927:78.04:81.646:85.952:90.721:99.899:103.482:105.676:120.52:121.752:124.271:136.216:137.257:145.476:146.504:149.097 161.059:164.295:166.613:171.178:171.764:173.847:180.76:181.748:183.124 
0,6,6,99,6,1.0,1.841759282498384,0.838220772467064,24.822,148.932,0.16:0.06:0.02:0.22:0.24:0.0:0.02:0.16:0.12,True1:4:5:4:1:4:7:4:5:2:5:8:5:4:1:4:5:8:9 True1:4:5:2:3:2:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:5:8:5:8:9 ,0.3:2.088:4.593:16.408:22.729:26.448:28.636:36.887:38.205:40.949:50.511:51.526:62.516:68.403:73.862:78.307:80.882:83.237:85.284 94.308:95.401:95.949:100.305:102.701:109.391:116.006:116.782:118.829 123.893:124.363:125.431:127.248:127.631 127.981:128.715:130.799:131.596:132.513 132.913:135.151:136.209:137.261:139.057 139.357:140.228:141.826:142.164:145.191:146.228:146.863 
0,6,4,130,4,1.0,1.9888840275331767,0.9051801295361341,57.52975000000001,230.11900000000003,0.14285714285714285:0.08928571428571429:0.03571428571428571:0.25:0.23214285714285715:0.05357142857142857:0.05357142857142857:0.07142857142857142:0.07142857142857142,True1:4:7:4:5:6:5:4:1:4:5:6:5:4:1:4:7:4:5:2:3:2:5:8:9 True1:4:7:4:1:4:5:8:9 True1:4:5:6:5:2:5:8:9 True1:4:1:4:5:2:3:2:5:4:5:8:9 ,0.15:2.46:4.985:9.759:10.589:13.014:20.366:27.46:30.566:39.428:42.02:44.306:53.145:56.338:61.217:64.871:67.458:73.145:74.152:76.617:79.376:90.84:96.796:98.156:100.462 113.114:114.117:117.211:123.821:126.308:133.79:134.899:137.303:138.464 145.984:148.037:150.866:152.984:161.794:162.432:175.349:176.73:179.044 186.938:189.415:194.939:197.163:198.421:201.633:204.029:210.694:217.043:219.097:224.476:225.239:226.277 
0,6,2,96,2,1.0,2.0126097937321146,0.9159781910741592,90.547,181.094,0.11363636363636363:0.13636363636363635:0.06818181818181818:0.25:0.20454545454545456:0.045454545454545456:0.09090909090909091:0.045454545454545456:0.045454545454545456,True1:4:7:4:1:4:7:4:5:6:5:2:3:2:5:8:9 True1:4:7:4:5:6:5:2:3:2:5:4:1:4:7:4:5:2:3:2:5:4:1:4:5:8:9 ,0.15:3.838:6.074:12.987:19.315:21.849:24.589:33.971:35.36:37.859:44.416:45.602:48.061:56.694:61.157:62.252:64.865 73.759:79.538:82.397:89.004:89.706:91.985:96.845:97.922:99.977:110.064:116.248:126.433:137.561:140.497:143.248:148.843:149.844:152.2:154.653:160.797:167.597:170.226:173.564:175.458:178.085:179.505:181.314 
0,6,3,116,2,0.6666666666666666,1.9638432425702779,0.893783577166755,50.69499999999999,281.39,0.15:0.1:0.05:0.2833333333333333:0.2:0.05:0.08333333333333333:0.05:0.03333333333333333,False1:4:7:4:1:4:7:4:5:2:3:2:5:6:5:4:1:4:1:4:7:4:1:4:5:2:3:2:5:4:7:4:1:4:5:6 True1:4:5:4:1:4:5:6:5:2:3:2:5:8:9 True1:4:7:4:5:8:5:8:9 ,0.25:5.093:7.305:13.994:20.619:23.149:25.976:35.513:36.378:38.9:41.546:48.658:61.338:62.41:68.805:71.798:75.936:79.693:94.094:96.553:98.758:107.448:118.037:120.409:123.016:125.755:128.361:133.246:144.686:154.503:155.745:164.408:169.163:173.922:175.895:178.399 180.41:184.331:186.302:194.111:199.639:206.173:208.681:210.721:218.914:219.895:222.192:228.414:235.775:236.803:239.275 252.139:260.334:262.923:268.374:269.579:270.686:274.03:274.893:277.851 
